Category,cod_region,name_region,desc_region,lenaguage,year_update,crs,file_name,file_url
region,CL-AI,Aisén del General Carlos Ibañez del Campo,"Aysén, Aisén",es,2011,EPSG:32718,Catastro_RV_R11_2011,https://ide.minagri.gob.cl/geoweb/storage/DESCARGAS/CAPAS/PLANIFICACION_CATASTRAL/CATASTRO_CONAF/11.%20Regin%20de%20Aysn.rar
region,CL-AN,Antofagasta,,es,2019,EPSG:32719,cbn_reg02_2019,https://ide.minagri.gob.cl/geoweb/storage/DESCARGAS/CAPAS/PLANIFICACION_CATASTRAL/CATASTRO_CONAF/CBN_REG02_2019.rar
region,CL-AP,Arica y Parinacota,,es,2015,EPSG:32719,catastro_RV_R15_2015,https://ide.minagri.gob.cl/geoweb/storage/DESCARGAS/CAPAS/PLANIFICACION_CATASTRAL/CATASTRO_CONAF/15.Regin%20de%20Arica%20y%20Parinacota.rar
region,CL-AT,Atacama,,es,2018,EPSG:32719,catastro_rv_r03_2018,https://ide.minagri.gob.cl/geoweb/storage/DESCARGAS/CAPAS/PLANIFICACION_CATASTRAL/CATASTRO_CONAF/03.Region%20de%20Atacama.rar
region,CL-BI,Biobío,,es,2015,EPSG:32718,Catastro_RV_R08_2015,https://ide.minagri.gob.cl/geoweb/storage/DESCARGAS/CAPAS/PLANIFICACION_CATASTRAL/CATASTRO_CONAF/08.Region_Biobio_2015.rar
region,CL-CO,Coquimbo,,es,2014,EPSG:32719,Catastro_RV_R04_2014,https://ide.minagri.gob.cl/geoweb/storage/DESCARGAS/CAPAS/PLANIFICACION_CATASTRAL/CATASTRO_CONAF/04.Regin%20de%20Coquimbo.rar
region,CL-AR,La Araucanía,,es,2017,EPSG:32718,cbn_09reg_2017,https://ide.minagri.gob.cl/geoweb/storage/DESCARGAS/CAPAS/PLANIFICACION_CATASTRAL/CATASTRO_CONAF/cbn_09reg_2017.rar
region,CL-LI,Libertador General Bernardo O'Higgins,O'Higgins,es,2013,EPSG:32719,Catastro_RV_R06_2013,https://ide.minagri.gob.cl/geoweb/storage/DESCARGAS/CAPAS/PLANIFICACION_CATASTRAL/CATASTRO_CONAF/06.%20Regin%20de%20OHiggins.rar
region,CL-LL,Los Lagos,,es,2018,EPSG:32718,cbn_10reg_2018,https://ide.minagri.gob.cl/geoweb/storage/DESCARGAS/CAPAS/PLANIFICACION_CATASTRAL/CATASTRO_CONAF/cbn_10reg_2018.rar
region,CL-LR,Los Ríos,,es,2017,EPSG:32718,cbn_14reg_2017,https://ide.minagri.gob.cl/geoweb/storage/DESCARGAS/CAPAS/PLANIFICACION_CATASTRAL/CATASTRO_CONAF/cbn_14reg_2017.rar
region,CL-MA,Magallanes,,es,2017-2019,EPSG:32718,cbn_2017_2019_r12,https://ide.minagri.gob.cl/geonetwork/srv/spa/catalog.search#/metadata/%7B8292CD2C-3C4B-42B1-BE25-32E100BD5F9A%7D_100048_es
region,CL-ML,Maule,,es,2016,EPSG:32718,Catastro_RV_R07_2016,https://ide.minagri.gob.cl/geoweb/storage/DESCARGAS/CAPAS/PLANIFICACION_CATASTRAL/CATASTRO_CONAF/07.Regin%20del%20Maule.rar
region,CL-RM,Región Metropolitana de Santiago,,es,2019,EPSG:32719,cbn_rm_2019_21feb24,https://ide.minagri.gob.cl/geoweb/storage/DESCARGAS/CAPAS/PLANIFICACION_CATASTRAL/CATASTRO_CONAF/cbn_rm_2019_21feb24.rar
region,CL-TA,Tarapacá,,es,2016,EPSG:32719,Catastro_RV_R01_2016,https://ide.minagri.gob.cl/geoweb/storage/DESCARGAS/CAPAS/PLANIFICACION_CATASTRAL/CATASTRO_CONAF/01.Regin%20de%20Tarapaca%20Ao%202016.rar
region,CL-VS,Valparaíso,,es,2019,EPSG:32719,cbn_05reg_2019_v2,https://ide.minagri.gob.cl/geoweb/storage/DESCARGAS/CAPAS/PLANIFICACION_CATASTRAL/CATASTRO_CONAF/cbn_05reg_2019_v2.rar
region,CL-NB,Ñuble,,es,2015,EPSG:32718,Catastro_RV_R16_2015,https://ide.minagri.gob.cl/geoweb/storage/DESCARGAS/CAPAS/PLANIFICACION_CATASTRAL/CATASTRO_CONAF/16.Region%20de%20niuble.rar
